null; deleted; 202206; deleted; 435;0;53;21;12;
1st Floor; deleted; 202206; deleted; 434;0;53;21;9;
1st Floor; deleted; 202206; deleted; 434;0;53;21;41;
1st Floor; deleted; 202206; deleted; 433;0;54;21;20;
1st Floor; deleted; 202206; deleted; 432;0;54;21;8;
1st Floor; deleted; 202206; deleted; 432;0;54;22;4;
1st Floor; deleted; 202206; deleted; 428;0;54;21;4;
1st Floor; deleted; 202206; deleted; 426;0;54;21;4;
1st Floor; deleted; 202206; deleted; 430;0;54;21;4;
1st Floor; deleted; 202206; deleted; 425;0;54;21;4;
1st Floor; deleted; 202206; deleted; 435;0;53;21;18;
1st Floor; deleted; 202206; deleted; 420;0;54;21;127;
1st Floor; deleted; 202206; deleted; 427;0;54;21;79;
1st Floor; deleted; 202206; deleted; 421;0;54;21;166;
1st Floor; deleted; 202206; deleted; 423;0;54;21;293;
1st Floor; deleted; 202206; deleted; 434;0;53;21;45;
1st Floor; deleted; 202206; deleted; 432;0;54;21;35;
1st Floor; deleted; 202206; deleted; 434;0;53;21;38;
1st Floor; deleted; 202206; deleted; 433;0;53;21;27;
1st Floor; deleted; 202206; deleted; 418;0;54;21;152;
1st Floor; deleted; 202206; deleted; 417;1;53;21;522;
1st Floor; deleted; 202206; deleted; 419;1;52;21;489;
1st Floor; deleted; 202206; deleted; 417;1;52;21;525;
1st Floor; deleted; 202206; deleted; 415;1;54;21;497;
1st Floor; deleted; 202206; deleted; 416;1;53;21;512;
1st Floor; deleted; 202206; deleted; 415;1;54;21;520;
1st Floor; deleted; 202206; deleted; 416;1;53;21;557;
1st Floor; deleted; 202206; deleted; 416;1;54;21;544;
1st Floor; deleted; 202206; deleted; 415;0;54;21;198;
1st Floor; deleted; 202206; deleted; 416;0;54;21;196;
1st Floor; deleted; 202206; deleted; 436;1;51;21;522;
1st Floor; deleted; 202206; deleted; 448;1;51;21;510;
1st Floor; deleted; 202206; deleted; 429;1;52;21;572;
1st Floor; deleted; 202206; deleted; 440;1;51;21;532;
1st Floor; deleted; 202206; deleted; 438;1;52;21;404;
1st Floor; deleted; 202206; deleted; 439;1;52;21;554;
1st Floor; deleted; 202206; deleted; 428;1;52;21;507;
1st Floor; deleted; 202206; deleted; 435;1;52;21;567;
1st Floor; deleted; 202206; deleted; 439;1;52;21;530;
1st Floor; deleted; 202206; deleted; 420;0;52;21;307;
1st Floor; deleted; 202206; deleted; 462;1;53;21;563;
1st Floor; deleted; 202206; deleted; 462;1;52;21;506;
1st Floor; deleted; 202206; deleted; 446;1;52;21;556;
1st Floor; deleted; 202206; deleted; 435;1;51;21;387;
1st Floor; deleted; 202206; deleted; 425;1;51;21;372;
1st Floor; deleted; 202206; deleted; 439;1;51;21;284;
1st Floor; deleted; 202206; deleted; 440;1;51;21;318;
1st Floor; deleted; 202206; deleted; 429;1;51;21;346;
1st Floor; deleted; 202206; deleted; 428;1;51;21;413;
1st Floor; deleted; 202206; deleted; 444;1;51;21;495;
1st Floor; deleted; 202206; deleted; 466;1;53;21;498;
1st Floor; deleted; 202206; deleted; 431;1;53;21;321;
1st Floor; deleted; 202206; deleted; 446;1;52;22;490;
1st Floor; deleted; 202206; deleted; 461;1;52;21;459;
1st Floor; deleted; 202206; deleted; 456;1;52;21;524;
1st Floor; deleted; 202206; deleted; 450;1;52;21;333;
1st Floor; deleted; 202206; deleted; 440;1;52;22;321;
1st Floor; deleted; 202206; deleted; 436;1;52;22;337;
1st Floor; deleted; 202206; deleted; 457;1;52;21;614;
1st Floor; deleted; 202206; deleted; 454;1;52;21;423;
1st Floor; deleted; 202206; deleted; 432;1;53;22;400;
1st Floor; deleted; 202206; deleted; 434;1;53;22;252;
1st Floor; deleted; 202206; deleted; 425;1;53;22;264;
1st Floor; deleted; 202206; deleted; 420;0;55;21;76;
1st Floor; deleted; 202206; deleted; 421;0;54;22;85;
1st Floor; deleted; 202206; deleted; 427;1;53;22;272;
1st Floor; deleted; 202206; deleted; 418;0;55;21;80;
