null; deleted; 202206; deleted; 434.6; 0.0; 53.38; 21.39; 12.48;
1st Floor; deleted; 202206; deleted; 433.76; 0.0; 53.0; 21.27; 8.64;
1st Floor; deleted; 202206; deleted; 433.52; 0.0; 53.38; 21.39; 40.96;
1st Floor; deleted; 202206; deleted; 433.16; 0.0; 53.5; 21.37; 19.52;
1st Floor; deleted; 202206; deleted; 432.04;  0.0; 53.88; 21.34; 7.68;
1st Floor; deleted; 202206; deleted; 431.6;  0.0; 54.0; 21.72; 4.16;
1st Floor; deleted; 202206; deleted; 428.24;  0.0; 53.75; 21.33; 3.52;
1st Floor; deleted; 202206; deleted; 425.64;  0.0; 53.75; 21.38; 3.52;
1st Floor; deleted; 202206; deleted; 430.4;  0.0; 54.0; 21.33; 3.52;
1st Floor; deleted; 202206; deleted; 425.04;  0.0; 53.88; 21.38; 3.52;
1st Floor; deleted; 202206; deleted; 434.52;  0.0; 53.0; 21.39; 17.92;
1st Floor; deleted; 202206; deleted; 419.68;  0.0; 53.75; 21.3; 127.04;
1st Floor; deleted; 202206; deleted; 427.0;  0.0; 53.88; 21.36; 79.36;
1st Floor; deleted; 202206; deleted; 420.72;  0.0; 53.75; 21.26; 166.08;
1st Floor; deleted; 202206; deleted; 422.96;  0.0; 53.75; 21.36; 293.12;
1st Floor; deleted; 202206; deleted; 433.56; 0.0; 53.0; 21.39; 45.12;
1st Floor; deleted; 202206; deleted; 431.92;  0.0; 53.5; 21.39; 34.56;
1st Floor; deleted; 202206; deleted; 433.6; 0.0; 52.88; 21.39; 38.08;
1st Floor; deleted; 202206; deleted; 433.24;  0.0; 52.88; 21.39; 27.2;
1st Floor; deleted; 202206; deleted; 417.96;  0.0; 53.88; 21.26; 152.0;
1st Floor; deleted; 202206; deleted; 416.64; 1.0; 52.5; 21.36; 521.6;
1st Floor; deleted; 202206; deleted; 419.0; 1.0; 52.25; 21.4; 489.12;
1st Floor; deleted; 202206; deleted; 417.48; 1.0; 52.25; 21.36; 524.8;
1st Floor; deleted; 202206; deleted; 415.24; 1.0; 53.5; 21.26; 497.28;
1st Floor; deleted; 202206; deleted; 415.84;  1.0; 53.0; 21.35; 511.68;
1st Floor; deleted; 202206; deleted; 415.28; 1.0; 54.25; 21.23; 520.32;
1st Floor; deleted; 202206; deleted; 415.84;  1.0; 53.25; 21.26; 557.44;
1st Floor; deleted; 202206; deleted; 415.64; 1.0; 54.13; 21.23; 544.0;
1st Floor; deleted; 202206; deleted; 415.08;  0.0; 54.13; 21.23; 198.08;
1st Floor; deleted; 202206; deleted; 416.32;  0.0; 54.0; 21.26; 196.48;
1st Floor; deleted; 202206; deleted; 435.8;  1.0; 51.25; 21.41; 521.6;
1st Floor; deleted; 202206; deleted; 448.36;  1.0; 51.13; 21.48; 509.76;
1st Floor; deleted; 202206; deleted; 429.24;  1.0; 51.63; 21.41; 571.84;
1st Floor; deleted; 202206; deleted; 440.28;  1.0; 51.25; 21.41; 531.52;
1st Floor; deleted; 202206; deleted; 437.79; 1.0; 51.88; 21.40; 403.52;
1st Floor; deleted; 202206; deleted; 439.0;  1.0; 51.63; 21.40; 553.6;
1st Floor; deleted; 202206; deleted; 428.44;  1.0; 52.0; 21.39; 506.88;
1st Floor; deleted; 202206; deleted; 434.96;  1.0; 51.88; 21.40; 567.04;
1st Floor; deleted; 202206; deleted; 439.32;  1.0; 51.88; 21.40; 529.6;
1st Floor; deleted; 202206; deleted; 419.52;  0.0; 52.25; 21.40; 306.56;
1st Floor; deleted; 202206; deleted; 461.84;  1.0; 52.5; 21.44; 563.2;
1st Floor; deleted; 202206; deleted; 461.68;  1.0; 52.13; 21.44; 505.6;
1st Floor; deleted; 202206; deleted; 445.92;  1.0; 51.5; 21.44; 556.48;
1st Floor; deleted; 202206; deleted; 435.24;  1.0; 50.75; 21.44; 386.56;
1st Floor; deleted; 202206; deleted; 425.32;  1.0; 50.75; 21.48; 371.52;
1st Floor; deleted; 202206; deleted; 439.32;  1.0; 50.75; 21.46; 283.52;
1st Floor; deleted; 202206; deleted; 440.12;  1.0; 51.13; 21.49; 318.4;
1st Floor; deleted; 202206; deleted; 428.84;  1.0; 50.88; 21.48; 346.24;
1st Floor; deleted; 202206; deleted; 427.6;  1.0; 50.63; 21.43; 413.12;
1st Floor; deleted; 202206; deleted; 444.24;  1.0; 51.13; 21.48; 494.72;
1st Floor; deleted; 202206; deleted; 466.08;  1.0; 52.63; 21.44; 498.24;
1st Floor; deleted; 202206; deleted; 431.08;  1.0; 52.75; 21.4; 320.96;
1st Floor; deleted; 202206; deleted; 446.48;  1.0; 52.0; 21.5; 489.92;
1st Floor; deleted; 202206; deleted; 461.08;  1.0; 52.38; 21.49; 458.56;
1st Floor; deleted; 202206; deleted; 456.32;  1.0; 52.25; 21.49; 523.84;
1st Floor; deleted; 202206; deleted; 450.0; 1.0; 52.13; 21.49; 333.12;
1st Floor; deleted; 202206; deleted; 440.08;  1.0; 52.13; 21.51; 321.28;
1st Floor; deleted; 202206; deleted; 435.6;  1.0; 52.38; 21.53; 336.64;
1st Floor; deleted; 202206; deleted; 457.44;  1.0; 52.13; 21.49; 613.76;
1st Floor; deleted; 202206; deleted; 453.96; 1.0; 52.13; 21.49; 422.72;
1st Floor; deleted; 202206; deleted; 431.84;  1.0; 52.86; 21.53; 400.32;
1st Floor; deleted; 202206; deleted; 433.76;  1.0; 52.88; 21.54; 252.48;
1st Floor; deleted; 202206; deleted; 425.4;  1.0; 52.88; 21.52; 263.6;
1st Floor; deleted; 202206; deleted; 420.36; 0.0; 54.63; 21.48; 76.48;
1st Floor; deleted; 202206; deleted; 421.08; 0.0; 53.5; 21.52; 84.8;
1st Floor; deleted; 202206; deleted; 427.44;  1.0; 53.0; 21.54; 272.0;
1st Floor; deleted; 202206; deleted; 418.4; 0.0; 54.75; 21.37; 80.32;
