null; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;0;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;100;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
1st Floor; deleted; 202206; deleted; 400;0;100;0;0;
